Municipios de 500 habitantes o más,Sexo,Nacionalidad,Nivel de estudios en curso,Periodo,Total
35001 Agaete,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
35005 Artenara,Hombres,Española,Educación primaria e inferior,1-ene-21,0
35005 Artenara,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
35006 Arucas,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
35007 Betancuria,Hombres,Española,Educación primaria e inferior,1-ene-21,0
35007 Betancuria,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
35008 Firgas,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
35010 Haría,Hombres,Española,Educación primaria e inferior,1-ene-21,0
35010 Haría,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
35011 Ingenio,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
35013 Moya,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
35021 Santa Brígida,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
35025 Tejeda,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
35027 Teror,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
35031 Valsequillo de Gran Canaria,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
35032 Valleseco,Hombres,Española,Educación primaria e inferior,1-ene-21,0
35032 Valleseco,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
35033 Vega de San Mateo,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
38002 Agulo,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
38003 Alajeró,Hombres,Española,Educación primaria e inferior,1-ene-21,0
38003 Alajeró,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
38004 Arafo,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
38005 Arico,Hombres,Española,Educación primaria e inferior,1-ene-21,0
38005 Arico,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
38007 Barlovento,Hombres,Española,Educación primaria e inferior,1-ene-21,0
38007 Barlovento,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
38010 Buenavista del Norte,Hombres,Española,Educación primaria e inferior,1-ene-21,0
38011 Candelaria,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
38012 Fasnia,Hombres,Española,Educación primaria e inferior,1-ene-21,0
38012 Fasnia,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
38013 Frontera,Hombres,Española,Educación primaria e inferior,1-ene-21,0
38013 Frontera,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
38014 Fuencaliente de la Palma,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
38015 Garachico,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
38016 Garafía,Hombres,Española,Educación primaria e inferior,1-ene-21,0
38016 Garafía,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
"38018 Guancha, La",Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
38020 Güímar,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
38021 Hermigua,Hombres,Española,Educación primaria e inferior,1-ene-21,0
